code_module,code_presentation,clics_premiers_jours,clics_derniers_jours
AAA,2013J,4.280242718446602,2.1012658227848102
AAA,2014J,4.169624327643895,1.646919431279621
BBB,2013J,3.2208614046793946,2.1263736263736264
BBB,2014J,3.1320455001917145,2.2613636363636362
CCC,2014J,3.618670512326417,2.1150041220115416
DDD,2014J,2.9252579394748044,1.6153846153846154
EEE,2013J,4.3908920561013005,1.8333333333333333
EEE,2014J,3.986217343796563,1.6192660550458715
FFF,2013J,3.4461656161350818,1.8507619548081975
FFF,2014J,3.432562533428728,1.8540415704387991
GGG,2014J,3.0765895953757227,1.6176470588235294
