code_module,code_presentation,score
AAA,2013J,69.50537634408602
AAA,2014J,68.75673981191223
BBB,2013B,78.84378990380523
BBB,2013J,78.68632312537693
BBB,2014B,78.60993044822257
BBB,2014J,66.94286420974524
CCC,2014B,73.19797030072382
CCC,2014J,75.96365316494686
DDD,2013B,69.502701760502
DDD,2013J,69.90850417615793
DDD,2014B,69.18938401048493
DDD,2014J,71.4885775862069
EEE,2013J,75.08482728465238
EEE,2014B,73.98776936517181
EEE,2014J,79.57708659655404
FFF,2013B,77.49858096187774
FFF,2013J,76.69445366987712
FFF,2014B,76.15621524510223
FFF,2014J,78.19184161119645
GGG,2013J,79.93120233652442
GGG,2014B,79.49848392965434
GGG,2014J,79.09039162112933
